week,year,student,teacher,location
1,2022,-,-,HE
1,2022,460,22,MV
1,2022,-,-,NI
1,2022,-,-,NW
1,2022,2823,238,RP
1,2022,313,35,SL
1,2022,1572,102,SN
1,2022,-,-,ST
1,2022,-,-,SH
1,2022,301,32,TH
