"data_date";"key";"date";"schools_closed";"schools_closed_perc";"schools_limited";"schools_limited_perc";"schools_limited_distance";"schools_limited_distance_perc";"schools_total";"students_infected";"students_infected_perc";"students_quarantine";"students_quarantine_perc";"students_total";"teacher_infected";"teacher_infected_perc";"teacher_quarantine";"teacher_quarantine_perc";"teacher_total";"students_perc";"teacher_perc"
"2022-02-10";"bl_hh";"2022-02-16";"0";"0,00000000000000e+00";"0";"0,00000000000000e+00";"0";"0,00000000000000e+00";"473";"3465";"1,34711682010450e+00";NA;NA;"257216";"151";"6,83938762569073e-01";NA;NA;"22078";"1,347116820104503621";"0,68393876256907327"
"2022-02-10";"bl_he";"2022-02-12";"0";"0,00000000000000e+00";"61";"3,37950138504155e+00";"61";"3,37950138504155e+00";"1805";"15597";"2,04797651201908e+00";"8203";"1,07710145079775e+00";"761581";"1021";"1,64860893575108e+00";"369";"5,95824385202887e-01";"61931";"2,047976512019076267";"1,64860893575107759"
"2022-02-10";"bl_mv";"2022-02-12";"0";NA;"0";NA;"0";NA;"0";"0";NA;"0";NA;"0";"0";NA;"0";NA;"0";NA;NA
"2022-02-10";"bl_ni";"2022-02-12";"2";"6,21310966138552e-02";"23";"7,14507611059335e-01";NA;NA;"3219";"16356";"1,48590947907771e+00";NA;NA;"1100740";"1107";"1,15042868277475e+00";NA;NA;"96225";"1,485909479077711426";"1,15042868277474675"
"2022-02-10";"bl_nw";"2022-02-11";"1";"2,26244343891403e-02";"285";"6,44796380090498e+00";"0";NA;"4420";"85882";"4,22383855751502e+00";"60548";"2,97786470948999e+00";"2033269";"5890";"3,70577761559321e+00";"1867";"1,17464971278651e+00";"158941";"4,223838557515017023";"3,70577761559320740"
"2022-02-10";"bl_rp";"2022-02-12";"0";"0,00000000000000e+00";"40";"2,51572327044025e+00";"40";"2,51572327044025e+00";"1590";"17953";"3,44777919464118e+00";"79646";"1,52955952618722e+01";"520712";"1249";"2,47738813075214e+00";"1539";"3,05260234846081e+00";"50416";"3,447779194641183764";"2,47738813075214237"
"2022-02-10";"bl_sl";"2022-02-12";"0";"0,00000000000000e+00";"0";"0,00000000000000e+00";"0";"0,00000000000000e+00";"302";"3976";"3,39417117686227e+00";"4410";"3,76466169264653e+00";"117142";"285";"2,93572311495674e+00";"308";"3,17264112072518e+00";"9708";"3,394171176862269768";"2,93572311495673643"
"2022-02-10";"bl_sn";"2022-02-12";"18";"1,30718954248366e+00";"316";"2,29484386347131e+01";NA;NA;"1377";"14986";"3,60098422737190e+00";"4974";"1,19520189156198e+00";"416164";"945";"3,06509681813759e+00";"74";"2,40018163536700e-01";"30831";"3,600984227371901270";"3,06509681813758883"
"2022-02-10";"bl_st";"2022-02-12";"12";"1,65745856353591e+00";"94";"1,29834254143646e+01";"93";"1,28453038674033e+01";"724";"10038";"5,02563383666440e+00";"7240";"3,62478471582489e+00";"199736";"616";"4,29148669360457e+00";"179";"1,24703915284938e+00";"14354";"5,025633836664397336";"4,29148669360457014"
"2022-02-10";"bl_sh";"2022-02-12";"0";"0,00000000000000e+00";"7";"7,82997762863535e-01";"7";"7,82997762863535e-01";"894";"3453";"9,10776599925619e-01";"3780";"9,97027381326046e-01";"379127";"267";"8,62236000775044e-01";"198";"6,39410966866886e-01";"30966";"0,910776599925618657";"0,86223600077504370"
"2022-02-10";"bl_th";"2022-02-12";"3";"3,09597523219814e-01";"217";"2,23942208462332e+01";"195";"2,01238390092879e+01";"969";"4362";"1,74493959516761e+00";"10475";"4,19033522681815e+00";"249980";"353";"1,68625203019012e+00";"473";"2,25948218209611e+00";"20934";"1,744939595167613433";"1,68625203019012138"
"2022-02-10";"bereinigter_anteil";NA;NA;"1,84633460618522e-01";NA;"6,06655327314754e+00";NA;"4,48045757864633e+00";NA;NA;"2,99494790371343e+00";NA;"3,17784242583369e+00";NA;NA;"2,43144424131627e+00";NA;"1,09169546080124e+00";NA;NA;NA
"2022-02-10";"bereinigte_bezugsgrosse";NA;NA;"2,38310000000000e+04";NA;"2,29290000000000e+04";NA;"1,36370000000000e+04";NA;NA;"9,49328700000000e+06";NA;"8,13533100000000e+06";NA;NA;"8,36910000000000e+05";NA;"7,18607000000000e+05";NA;NA;NA
"2022-02-03";"bl_bw";"2022-02-04";"0";NA;"0";NA;"637";"1,43500788465871e+01";"4439";"35444";"2,41570851195791e+00";"38502";"2,62412845975069e+00";"1467230";"2589";"1,87940997125352e+00";"1661";"1,20575510322599e+00";"137756";"2,415708511957907145";"1,87940997125352061"
